width,height,megapixels,aspect_ratio,brightness,contrast,sharpness,colorfulness,subject_ratio,edge_density,quality_score,label
758,757,0.5736,1.0003,124.407,42.212,154.494,18.648,0.35,0.0887,37.95,재촬영 권장
779,723,0.563,1.0775,144.645,35.185,123.775,33.136,0.628,0.0524,36.76,재촬영 권장
1689,1809,3.0555,0.9338,133.296,43.5,178.327,12.006,0.4779,0.0812,63.96,보정 권장
3099,3872,12.0,0.8004,45.662,61.86,80.275,37.518,0.6451,0.0469,52.43,보정 권장
854,956,0.8165,0.8926,109.37,61.409,163.267,25.776,0.4471,0.0506,46.62,보정 권장
1917,2456,4.7093,0.7804,143.095,49.327,132.404,42.92,0.02,0.0666,57.08,보정 권장
1595,1572,2.5071,1.0151,134.986,44.755,2000.0,24.003,0.3195,0.5,79.67,제작 적합
1018,728,0.7418,1.398,169.082,46.817,455.128,20.901,0.177,0.1594,46.68,보정 권장
1174,1328,1.5591,0.8842,71.376,46.97,202.613,35.69,0.6048,0.0338,46.6,재촬영 권장
1178,1376,1.6218,0.8563,143.676,54.924,230.937,47.217,0.535,0.0939,61.71,보정 권장
1102,975,1.0741,1.1303,96.724,44.81,216.642,2.0,0.4442,0.0775,41.72,재촬영 권장
3525,3224,11.3668,1.0933,130.534,53.666,285.823,31.819,0.5208,0.0777,76.65,제작 적합
608,592,0.3597,1.0267,138.946,21.419,167.317,38.813,0.4769,0.0533,38.48,재촬영 권장
1494,1886,2.8181,0.7925,150.186,58.836,237.331,10.553,0.3456,0.0712,62.66,보정 권장
1636,1648,2.6953,0.9927,99.663,75.822,608.978,18.013,0.7772,0.1458,79.63,제작 적합
1188,999,1.1871,1.1898,130.114,47.994,510.652,39.041,0.4841,0.1362,71.69,제작 적합
1279,1789,2.288,0.7146,76.016,19.574,318.683,18.753,0.4102,0.1153,50.26,보정 권장
1982,2223,4.4061,0.8919,66.321,68.776,802.335,21.355,0.1926,0.1902,76.6,제작 적합
1194,1921,2.2947,0.6217,144.914,38.875,295.25,53.863,0.3371,0.0863,64.09,보정 권장
1452,2005,2.9117,0.7244,120.536,3.0,99.425,17.147,0.4453,0.0,52.79,보정 권장
1534,2432,3.7313,0.631,57.984,40.856,49.799,18.241,0.4128,0.0209,45.12,재촬영 권장
550,584,0.3212,0.9429,88.715,55.523,128.693,2.0,0.3618,0.06,29.53,재촬영 권장
2348,3223,7.5662,0.7284,123.458,51.582,227.837,15.042,0.4346,0.076,67.5,보정 권장
3584,3349,12.0,1.0702,184.873,66.833,345.418,13.165,0.2512,0.1072,64.28,보정 권장
2242,2156,4.8349,1.04,164.467,55.804,637.583,53.817,0.4446,0.157,89.52,제작 적합
2180,2284,4.9801,0.9543,154.601,46.972,143.609,46.94,0.1788,0.0673,59.43,보정 권장
548,1028,0.5631,0.533,51.301,9.579,116.542,12.694,0.2962,0.0311,15.83,재촬영 권장
1254,1434,1.7978,0.874,118.792,24.923,483.686,57.276,0.317,0.1591,65.87,보정 권장
975,987,0.963,0.9879,141.755,47.953,697.869,40.776,0.5918,0.1987,70.77,보정 권장
1101,1071,1.179,1.0287,138.422,56.818,156.675,27.654,0.5268,0.0515,51.61,보정 권장
1805,2646,4.7754,0.6821,139.307,26.472,327.005,41.3,0.456,0.1315,72.25,보정 권장
928,1046,0.9701,0.8874,113.348,33.867,834.591,35.399,0.2466,0.2208,61.6,보정 권장
1180,1507,1.779,0.783,192.957,53.133,322.093,19.582,0.375,0.121,51.51,보정 권장
542,663,0.3589,0.8169,181.7,10.758,229.504,5.861,0.5801,0.0795,26.14,재촬영 권장
